phaseFrac,spacingFactor,widthFactor,helixPlusWeight,anglePlusDeg,helixMinusWeight,angleMinusDeg,axialWeight,bendingWeight,ringWeight,ringSpacingFactor,jointRingWeight,jointRingWidthFactor,middleRingWeight,baseDensity,eval,VF,stressRatio,dispRatio,maxHM,maxAbsUz
9.99999999861649e-09,17.940509355485,0.901594697319708,0.799167356983318,45.0144281370425,0.799167356697961,45.0144281275251,0.35015894567894,0.350058473790031,2.76732389275725e-09,12.00000068,0.750127205545597,3.00281956358428,1.5e-08,0.0400140865611738,52,0.453070084999999,1.05529901836873,0,4009242.0156946,0.0279862060445159
9.99999999861649e-09,17.940509355485,0.901594697319708,0.799167356983318,45.0144281370425,0.799167356697961,45.0144281275251,0.35015894567894,0.350058473790031,4e-09,12.0000004704451,0.750127205545597,3.00281956358428,1.5e-08,0.0400140865611738,53,0.453070084999999,1.05529901836873,0,4009242.0156946,0.0279862060445159
9.99999999861649e-09,17.940509355485,0.901594697319708,0.799167356983318,45.0144281370425,0.799167356697961,45.0144281275251,0.35015894567894,0.350058473790031,4e-09,12.00000068,0.75762694262017,3.00281956358428,1.5e-08,0.0400140865611738,54,0.453070085,1.0538282381638,0,4003654.29724629,0.028055424425715
9.99999999861649e-09,17.940509355485,0.901594697319708,0.799167356983318,45.0144281370425,0.799167356697961,45.0144281275251,0.35015894567894,0.350058473790031,4e-09,12.00000068,0.750127205545597,2.95307382918918,1.5e-08,0.0400140865611738,55,0.453070085,1.06227769067261,0,4035755.056764,0.0279862520751777
9.99999999861649e-09,17.940509355485,0.901594697319708,0.799167356983318,45.0144281370425,0.799167356697961,45.0144281275251,0.35015894567894,0.350058473790031,4e-09,12.00000068,0.750127205545597,3.00281956358428,1.03774645978397e-08,0.0400140865611738,56,0.453070084999999,1.05529901836873,0,4009242.0156946,0.0279862060445159
9.99999999861649e-09,17.940509355485,0.901594697319708,0.799167356983318,45.0144281370425,0.799167356697961,45.0144281275251,0.35015894567894,0.350058473790031,4e-09,12.00000068,0.750127205545597,3.00281956358428,1.5e-08,0.0388503997354579,57,0.453070085,1.05960007082185,0,4025582.37033023,0.0279941844259097
9.99999999861649e-09,17.940509355485,0.901594697319708,0.799167356983318,45.0144281370425,0.799167356697961,45.0144281275251,0.35015894567894,0.350058473790031,4e-09,12.00000068,0.750127205545597,3.00281956358428,1.5e-08,0.0400140865611738,58,0.473070085,1.05715872655456,0,4016307.33089514,0.0245051897575967
9.9999999972401e-09,17.8002137205704,0.907714472169376,0.795957892788141,44.9380131772605,0.79595789191279,44.9380131400555,0.350750110307093,0.350288820192961,4e-09,12.00000068,0.750677117043027,3.01364358364021,1.5e-08,0.04006776204807,59,0.052899999999995,8.84240413164381,0,33593642.6996192,710.330058150452
9.99999999765303e-09,17.8421862982512,0.905874488368911,0.796920914872418,44.9609376085452,0.79692091417413,44.9609375796464,0.350572737856474,0.350219712748509,4e-09,12.00000068,0.75051214364334,3.01039284123537,1.5e-08,0.0400516504561022,60,0.1709210255,6.37596717388635,0,24223272.3041375,0.635846800924142
9.99999999794205e-09,17.8716264649184,0.904588562439012,0.797594938114326,44.9769847518247,0.79759493753995,44.9769847287403,0.350448588880522,0.3501713393331,4e-09,12.00000068,0.750396662233121,3.00811912504249,1.5e-08,0.0400403769049811,61,0.255565743349999,3.56781589308299,0,13554677.0477648,0.16455579742643
9.99999999814441e-09,17.8922635743554,0.903689427303637,0.798066708524374,44.9882177641916,0.79806670803672,44.9882177451772,0.350361690364307,0.350137478823075,4e-09,12.00000068,0.750315825234451,3.00652840746264,1.5e-08,0.0400324876546349,62,0.314817045845,2.38705359177499,0,9068780.87374008,0.0858279657137711
