angleDeg,phaseFrac,spacingFactor,widthFactor,helixPlusWeight,helixMinusWeight,axialWeight,bendingWeight,ringWeight,ringSpacingFactor,jointRingWeight,baseDensity,eval,J,stressObjective,dispObjective,trueMaxHM,maxAbsUz,fullVolumeFraction,maxHM_min_bending,tipUz_min_bending,maxHM_min_torsion,tipUz_min_torsion,maxHM_min_shear,tipUz_min_shear,maxHM_max_bending,tipUz_max_bending,maxHM_max_torsion,tipUz_max_torsion,maxHM_max_shear,tipUz_max_shear,maxHM_max_tension,tipUz_max_tension
45.0031120257164,1.10232407263991e-08,20.5722420791739,0.838350147166367,0.806732534289057,0.802077684203842,0.350677863988887,0.350779532455165,3.69571977732675e-09,31.9987962468042,0.750045125659738,0.0406709162078464,54,0.89297244358802,0.89297244358802,1.1214209300421,54584072.4750639,0.963240112899572,0.4,54584072.4750639,-0.963240112899572,46338494.609588,-0.616480408960198,10769860.9490419,-0.0346174345268297,54584072.4218862,-0.963240112336513,46352254.6174156,-0.615052209499044,10769860.9514622,-0.0346174345315964,26530492.1788977,-0.145995055394625
45.0017235882582,1.47099734204615e-08,20.011156856937,0.861364025798803,0.801836516167161,0.80243109997915,0.349487662206326,0.349690656108397,3.13063759580321e-09,31.651733857535,0.750049110064697,0.036827486778868,55,0.83565631860483,0.83565631860483,1.1389099268792,51192294.1963884,0.982158079950975,0.4,51192293.9599951,-0.982158075662808,34360127.7919691,-0.61039177848284,9601887.12837043,-0.0356267376273998,51192294.1963884,-0.982158079950975,34366503.5982787,-0.608961097853392,9601887.12552666,-0.0356267376151337,23531523.5032011,-0.147340402770464
45.0008152203824,6.95328493956927e-09,20.1325749581417,0.847323617332107,0.80209186324779,0.801191341541176,0.351195328775483,0.350043027626488,2.56403860686916e-09,31.7226772981106,0.750070036728134,0.0383427834206285,56,0.849408534197121,0.849408534197121,1.11367728042804,50200321.4704475,0.95875616735383,0.4,50200321.4704475,-0.95875616735383,33698978.1545354,-0.603819786534759,10894045.2768856,-0.0346171695898996,50200321.3907553,-0.958756165809541,33687554.9282549,-0.602406564972898,10894045.2929538,-0.0346171696577932,26711259.8357233,-0.144810620931212
45.0016575961456,8.5237438823965e-09,20.1360497574841,0.846180298504248,0.802179363460691,0.804151032735055,0.351555565872921,0.350057908318397,3.71809209653859e-09,32.0385241048791,0.750062847159507,0.0385138933316308,57,0.849900458318842,0.849900458318842,1.11322315936133,50166735.2822143,0.958351402309659,0.4,50166735.2822143,-0.958351402309659,33641023.2307267,-0.603697789824532,10918017.2868513,-0.0345979672922249,50166735.2483342,-0.958351401607207,33665735.2265123,-0.602286662417506,10918017.2679151,-0.0345979672131259,26770646.8188885,-0.144775702619749
45.001888628162,9.65648203599252e-09,20.1198266049668,0.841286943861986,0.801970299642473,0.801815673630113,0.349536336772682,0.350523776322123,4.19990118935841e-09,32.2453599314956,0.750058525298235,0.0372899466864657,58,0.847406609974306,0.847406609974306,1.10772089772183,50123626.8954735,0.953669809286003,0.4,50123626.8954735,-0.953669809286003,33807593.8958537,-0.600389658173212,10860635.5657697,-0.0344405579828652,50123626.8735593,-0.95366980879545,33808458.1986675,-0.598984172140123,10860635.5692571,-0.0344405579924879,26628173.0591534,-0.143981539728467
45.0031032638138,1.7903732194721e-08,20.2889563068632,0.838373786186369,0.802027032999798,0.802214153877473,0.351840889746257,0.350326485245253,2.93593416944228e-09,31.9553250258239,0.750070527989351,0.0380094320921827,59,0.859767154708089,0.859767154708089,1.10194478313617,51455283.8114482,0.948329923469905,0.4,51455283.8114482,-0.948329923469905,38632113.0353089,-0.602890963094026,10971798.3504835,-0.0340469904584912,51455283.6330648,-0.948329920508788,38634915.6143554,-0.601485398669522,10971798.3556126,-0.0340469904845839,26904828.6915542,-0.143847822256955
45.0044708002819,5.3998906408877e-09,20.487203219502,0.83449460403015,0.802217251004008,0.801692538393856,0.351758966555109,0.350153230991864,2.81037998693647e-09,31.9208463972466,0.750077196507801,0.0386819882209238,60,0.871057676455772,0.871057676455772,1.10567602136646,52120809.5052838,0.949985089009533,0.4,52120809.5052838,-0.949985089009533,40922379.2665558,-0.607315911812181,10763923.8640438,-0.0341379142836338,52120809.4269664,-0.949985087723878,40911228.4531469,-0.605910196415692,10763923.8741512,-0.0341379143267931,26496585.8662443,-0.144020237297877
45.0033000708102,7.1634256355233e-09,20.1684370983622,0.843542013450541,0.802032805872135,0.801782089003358,0.3512417859778,0.350140259958706,3.02694057004187e-09,31.9225173700711,0.750067277291452,0.0385026385400924,61,0.852028437913115,0.852028437913115,1.10777109391584,49943987.7436897,0.953519490597714,0.4,49943987.74271,-0.953519490597714,33363846.6529391,-0.602247290193143,11025877.2907107,-0.0343644709723814,49943987.7436897,-0.953519490445576,33360581.1376406,-0.600838325005192,11025877.2975616,-0.0343644709978419,27036236.7477028,-0.144387376592537
45.0027365769504,9.34712418869882e-09,20.4425742076512,0.83737125890475,0.802248306042697,0.802968739390417,0.350487524651023,0.352537247944753,3.01464370267896e-09,31.7438638147959,0.750084701074935,0.0387551428081505,62,0.864733031305534,0.864733031305534,1.10895497113122,52006407.3869213,0.952785279274595,0.4,52006407.3869213,-0.952785279274595,35156884.1902755,-0.608496844178798,10667090.5763474,-0.0342600329221077,52006407.2795189,-0.952785277132057,35174848.7877311,-0.607086593416502,10667090.5807367,-0.0342600329499044,26174336.8477453,-0.144467024529976
45.0020162197623,9.27953949354085e-09,19.6577321714773,0.857805324806091,0.801710985974681,0.801430977522553,0.35087337406415,0.349182903574858,3.33540348262277e-09,31.9951140797115,0.75004767895542,0.0381755769177381,63,0.852474697607464,0.852474697607464,1.16084272621523,53160272.9417657,1.00393312476709,0.4,53160272.9417657,-1.00393312476709,36119230.2973897,-0.612332890934177,9173829.09945096,-0.0366155188745813,53160272.8118285,-1.00393312226582,36116224.025217,-0.610910900873578,9173829.09453,-0.0366155188515043,22575971.2524292,-0.148634357295008
